defecto_id,capa,registro,campo,valor,estado_de_la_marca,consecuencia
FD-01,establecimientos_E02_E07_geo_r4.csv,Fujisan,vigencia_fecha,2021-08-26,descartada_como_vigencia,la fecha de origen (2021) es la que vale; la nota está re-sellada al 24/09/2025 y eso no verifica nada
FD-01,establecimientos_E02_E07_geo_r4.csv,China Rose,vigencia_fecha,2021-08-26,descartada_como_vigencia,la fecha de origen (2021) es la que vale; la nota está re-sellada al 24/09/2025 y eso no verifica nada
FD-01,establecimientos_E02_E07_geo_r4.csv,Dogg,vigencia_fecha,2021-08-26,descartada_como_vigencia,la fecha de origen (2021) es la que vale; la nota está re-sellada al 24/09/2025 y eso no verifica nada
FD-01,establecimientos_E02_E07_geo_r4.csv,Las Carnitas,vigencia_fecha,2021-08-26,descartada_como_vigencia,la fecha de origen (2021) es la que vale; la nota está re-sellada al 24/09/2025 y eso no verifica nada
FD-01,establecimientos_E02_E07_geo_r4.csv,Garbis,vigencia_fecha,2021-08-26,descartada_como_vigencia,la fecha de origen (2021) es la que vale; la nota está re-sellada al 24/09/2025 y eso no verifica nada
FD-01,hitos_capa_2026_r3.csv,DIR-006 Pin Pun,fuente_primaria,https://www.cronista.com/clase/gourmet/la-pizzeria-historica-que-es-la-mas-antigua-de-caba-y-fue-elegida-como-la-mejor-d,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,hitos_capa_2026_r3.csv,DIR-009 La Mezzetta,fuente_primaria,https://www.cronista.com/clase/gourmet/la-historica-pizzeria-portena-que-abrio-hace-mas-de-80-anos-solo-tiene-4-variedad,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,hitos_capa_2026_r3.csv,DIR-015 San Carlos,fuente_primaria,https://www.cronista.com/clase/gourmet/la-historica-pizzeria-de-caballito-que-ofrece-porciones-llenas-de-queso-y-tenes-q,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,hitos_capa_2026_r3.csv,DIR-017 Gran Pizzeria Jose,fuente_primaria,https://www.cronista.com/clase/gourmet/la-pizzeria-clasica-de-villa-devoto-que-cumplio-80-anos-y-que-vale-la-pena-conoce,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,hitos_capa_2026_r3.csv,DIR-020 San Antonio,fuente_primaria,https://www.cronista.com/clase/gourmet/la-clasica-pizzeria-portena-que-es-un-clasico-de-boedo-y-causa-furor-en-el-barrio,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,hitos_capa_2026_r3.csv,DIR-025 Napoli,fuente_primaria,https://www.cronista.com/clase/gourmet/la-historia-de-la-clasica-heladeria-portena-que-abrio-hace-70-anos-y-es-una-de-la,pendiente_de_comprobacion,no registramos la fecha de actualización de esta nota: NO se descarta y NO se da por buena. Hay que mirarla.
FD-01,enclaves_establecimientos_E02_E07.csv,E02 Fujisan,nota,"Declarado 'Sitio de Interes Cultural de la Ciudad' por el GCBA: dato factual, NO computa como reconocimiento externo. VER ALERTA EL CRONISTA 24/09/2025.",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,enclaves_establecimientos_E02_E07.csv,E02 China Rose,nota,VER ALERTA EL CRONISTA 24/09/2025.,descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,enclaves_establecimientos_E02_E07.csv,E02 Dogg,nota,VER ALERTA EL CRONISTA 24/09/2025.,descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,enclaves_establecimientos_E02_E07.csv,E02 Las Carnitas,nota,No asiatico DENTRO del poligono. VER ALERTA EL CRONISTA 24/09/2025.,descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,enclaves_establecimientos_E02_E07.csv,E02 Garbis,nota,No asiatico DENTRO del poligono. VER ALERTA EL CRONISTA 24/09/2025.,descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,seis_vias_ronda_3_norte.csv,Z46 Retiro,alerta_vigencia,"CRITICA. El Mercado de los Carruajes (Av. Leandro N. Alem 852) CERRO a fines de abril de 2025, y El Cronista, en su version actualizada al 24/09/2025, sigue listando Nozomi Ryori y Amazonia EN ESA DIR",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,via_E_22_referencias.csv,R03 San Telmo,via_E_reconocimiento,"La Nacion (2026), El Cronista (2021, act. 2025) y Time Out BA (2025, Mercado de San Telmo) tratan al barrio como circuito gastronomico. Operadores internacionales venden food tours de la zona de forma",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,via_E_22_referencias.csv,R15 Devoto,via_E_fuentes,La Nacion / Que Sale 24/06/2025 | Time Out BA 24/09/2025 | El Cronista 'Por que Villa Devoto es el nuevo polo gastronomico',falso_positivo · la fecha es de otro medio,"NO se marca: FD-01 es dominio + fecha, y esta fecha no es del Cronista"
FD-01,via_E_94_filas.csv,PG004_SAN_TELMO San Telmo,via_E_reconocimiento,"La Nacion (2026), El Cronista (2021, act. 2025) y Time Out (2025) tratan a San Telmo como circuito gastronomico; operadores internacionales venden food tours de la zona de forma sostenida.",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,vigencia_verificada_ronda_2.csv,Casa Watson Vuelta de Obligado 2072,por_que_importa,"DESCARTADO POR RE-SELLADO: El Cronista publico la nota el 28/07/2022 y la 'actualizo' el 24/09/2025, dando horarios que parecen frescos y no lo son. Casi dos anos sin una sola pieza fechada.",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-01,vigencia_verificada_ronda_2.csv,Bar Don Juan (catalogo:  Camarones 270,por_que_importa,"Nada la inclina DENTRO de ventana; fuera de ventana el cuadro es bueno. La probabilidad real de que este abierto es alta y la evidencia admisible es nula. DESCARTADO POR DOBLE MOTIVO: El Cronista, pub",descartada_como_vigencia,la cita vale por su año de ORIGEN; «act. 2025» no cuenta como añada 2025
FD-12,hitos_capa_2026_r6.csv,12 de octubre,señal de cierre externa,Yelp · CLOSED - Updated July 2026,descartada_falso_positivo_probado,el hito queda `si` (v2) por verificación humana del 07/08/2026; la marca de Yelp no baja el veredicto ni deja duda residual
FD-02,hitos_capa_2026_r6.csv,Café Olimpo,barrio,Villa Luro (anexo Res. 1225/26),descartada_como_dato_territorial,el barrio del punto es Monte Castro según USIG y según la escalera de alturas del callejero (Irigoyen impar 1301–1799 = Monte Castro; Villa Luro termina en el 1299). La comuna del anexo (10) sí es correcta
